start,end,team,name,notes
2016-03-01,2016-07-06,Mariners,• Jesus Sucre,placed on 60-day DL with fractured fibula in leg
2016-04-10,2016-09-10,Dodgers,• Andre Ethier,transferred to 60-day DL with fractured tibia in right leg
2016-05-03,2016-11-07,Cubs,• Christian Villanueva,transferred to 60-day DL with fractured fibula in right leg
2018-08-17,2018-11-02,Mets,• Phillip Evans,transferred to 60-day DL with fractured tibia in left leg (out for season)
