key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_wikidata,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
b82efd1d,b82efd1d-885a-4f03-8390-7d82392745e6,543068,cronc002,croncj01,cron--002chr,12546,,,,,Q5006540,Cron,C. J.,Christopher John,,,,1990,1,5,,,,2011,2023,2014,2023,2009,2011,,,,,,,,,,
b836fa47,b836fa47-be08-470a-bcff-e745aacc3d7b,623323,bishb001,bishobr01,bishop002bra,17806,,,,,Q60229696,Bishop,Braden,Braden Adam,,,,1993,8,22,,,,2015,2022,2019,2021,2013,2015,,,,,,,,,,
b85d9945,b85d9945-e68e-4597-841e-c834e64d4617,599683,saupw001,saupowa01,saupol000war,13211,,,,,Q7971188,Saupold,Warwick,Warwick Anthony,,,,1990,1,16,,,,2010,2024,2016,2018,,,,,,,,,,,,
b87820ad,b87820ad-a099-4108-acb1-01c7a24d5de2,571976,myerw001,myerswi01,myers-006wil,10047,,,,,Q649459,Myers,Wil,William Bradford,,,,1990,12,10,,,,2009,2023,2013,2023,,,,,,,,,,,,
b8999127,b8999127-3403-4062-bb89-d3535491370c,666181,bensw001,bensowi01,benson002wil,21853,,,,,,Benson,Will,William Buchanan,,,,1998,6,16,,,,2016,2024,2022,2024,,,,,,,,,,,,
b8a36507,b8a36507-2035-4c63-8ed3-1fec9a2b3f62,666157,lodon001,lodolni01,lodolo000nic,26378,,,,,,Lodolo,Nick,Nicholas Frank,,,,1998,2,5,,,,2019,2024,2022,2024,2017,2019,,,,,,,,,,
b8b3066b,b8b3066b-c5dc-4986-9df0-0952aaf04161,608566,marqg001,marquge01,marque000ger,15038,,,,,Q26837639,Márquez,Germán,Germán Andres,,,,1995,2,22,,,,2012,2024,2016,2024,,,,,,,,,,,,
b8bb214d,b8bb214d-6af8-44ac-9366-c001f89d76ef,670148,mondn001,mondona01,mondou000nat,19563,,,,,,Mondou,Nate,Nathan Wayne,,,,1995,3,24,,,,2016,2024,2022,2022,2014,2016,,,,,,,,,,
b8f99220,b8f99220-49e5-4ee6-a222-17fd3bd4e3d1,670097,shorz001,shortza01,short-000zac,19562,,,,,Q106593240,Short,Zack,Zachary Ryan,,,,1995,5,29,,,,2016,2024,2021,2024,2014,2016,,,,,,,,,,
b92f48c0,b92f48c0-408d-4f13-81e0-88b57a5351ca,502706,holld003,hollade01,hollan001der,4141,,,,,Q1047687,Holland,Derek,Derek Lane,,,Dutch Oven,1986,10,9,,,,2007,2023,2009,2021,2006,2007,,,,,,,,,,
b9422860,b9422860-114f-412b-88ca-8913069ad9ab,607706,rothm001,rothmi01,roth--002mic,13736,,,,,Q6833984,Roth,Michael,Michael Thomas,,,,1990,2,15,,,,2012,2018,2013,2016,2009,2012,,,,,,,,,,
b95ca766,b95ca766-dceb-465f-bc5d-8f7673c86b2a,571800,hutcd001,hutchdr01,hutchi002and,10732,,,,,Q3039403,Hutchison,Drew,Andrew Scott,,,,1990,8,22,,,,2010,2024,2012,2022,,,,,,,,,,,,
b965bc93,b965bc93-67c2-4ecd-8d3c-4d35a463740a,592398,hillt001,hillta01,hill--005dav,12515,,,,,Q17303879,Hill,Taylor,David Taylor,,,,1989,3,12,,,,2011,2019,2014,2015,2009,2011,,,,,,,,,,
b96f98d3,b96f98d3-f69b-40b4-aba7-166c80176fc0,656457,gilbt001,gilbety01,gilber000tyl,17964,,,,,Q107868719,Gilbert,Tyler,Tyler Gregory,,,,1993,12,22,,,,2015,2024,2021,2024,2015,2015,,,,,,,,,,
b9708dcb,b9708dcb-4f22-48da-bf17-5a85191dbb3c,461815,murpd005,murphda07,murphy003dav,6035,,,,,Q861705,Murphy,David,David Matthew,,,,1981,10,18,,,,2003,2016,2006,2015,2001,2003,,,,,,,,,,
b9818f39,b9818f39-59dc-4736-9c17-e086267e355a,606132,tapir001,tapiara01,tapia-000rai,14350,,,,,Q26837636,Tapia,Raimel,Raimel Antonio,,Linarez,,1994,2,4,,,,2011,2024,2016,2023,,,,,,,,,,,,
b996b76b,b996b76b-5f00-4e55-89eb-650923fafabc,664157,bergt001,bergetr01,bergen000tra,18581,,,,,Q60452090,Bergen,Travis,Travis Michael,,,,1993,10,8,,,,2015,2022,2019,2021,2013,2015,,,,,,,,,,
b99d5471,b99d5471-7e0a-4cd5-a4f8-43aa0ddedf36,460008,varva001,varvaan01,varvar001ant,2385,,,,,Q2852988,Varvaro,Anthony,Anthony Michael,,,,1984,10,31,2022,9,11,2006,2016,2010,2015,2003,2005,,,,,,,,,,
b9a67de2,b9a67de2-c5ee-4439-91e2-11dc01bcf7f9,430605,rabur001,raburry01,raburn001rya,2218,,,,,Q2748741,Raburn,Ryan,Ryan Neil,,,,1981,4,17,,,,2001,2017,2004,2017,2000,2000,,,,,,,,,,
b9b54ca4,b9b54ca4-204a-45d6-b667-18466c44e965,650633,kingm002,kingmi01,king--000mik,19853,,,,,Q64785917,King,Mike,Michael McRae,,,,1995,5,25,,,,2016,2024,2019,2024,2014,2016,,,,,,,,,,
b9c8df4b,b9c8df4b-823f-4334-89db-1d8e7b97deb8,455117,maldm001,maldoma01,maldon001mar,6887,,,,,Q3295995,Maldonado,Martín,Martín Benjamin,,Valdes,,1986,8,16,,,,2004,2024,2011,2024,,,,,,,,,,,,
