date,team,name,notes
2018-10-29,Indians,• Lonnie Chisenhall,activated from 60-day DL
2018-09-01,Indians,• Josh Donaldson,activated from 60-day DL
2018-10-12,Athletics,• Jake Smolinski,activated from 60-day DL
2019-07-25,Yankees,• Troy Tulowitzki,activated from 60-day IL
2021-11-05,Angels,• Mike Trout,activated from 60-day IL
2022-06-17,Reds,• Max Schrock,activated from 60-day IL
2022-11-10,Nationals,• Yadiel Hernandez,activated from 60-day IL
2022-11-08,Reds,• Mike Moustakas,activated from 60-day IL
