date,team,name,notes
2016-11-07,Padres,• Cory Spangenberg,activated from 60-day DL
2016-11-07,Giants,• Mac Williamson,activated from 60-day DL
2017-11-03,Braves,• Danny Santana,activated from 60-day DL
2018-09-02,Brewers,• Nick Franklin,activated from 60-day DL
2022-06-07,Nationals,• Ehire Adrianza,activated from 60-day IL
2022-09-06,Cubs,• Michael Hermosillo,activated from 60-day IL
2022-09-17,Royals,• Edward Olivares,activated from 60-day IL
