start,end,team,name,notes
2016-08-13,2016-11-07,Padres,• Cory Spangenberg,transferred to 60-day DL with strained left quadriceps
2016-09-27,2016-11-07,Giants,• Mac Williamson,placed on 60-day DL with strained quadricep
2017-09-05,2017-11-03,Braves,• Danny Santana,transferred to 60-day DL with strained left quadriceps
2018-07-02,2018-09-02,Brewers,• Nick Franklin,transferred to 60-day DL with strained right quadriceps
2022-04-21,2022-06-07,Nationals,• Ehire Adrianza,transferred to 60-day IL with strained left quadriceps
2022-06-30,2022-09-06,Cubs,• Michael Hermosillo,placed on 60-day IL with strained left quadriceps
2022-08-04,2022-09-17,Royals,• Edward Olivares,transferred to 60-day IL with strained left quadriceps
