key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_wikidata,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
1009d12c,1009d12c-6cd3-4779-ab62-9084931845ae,519445,wortd001,worthda01,worth-001dan,198,,,,,Q3015325,Worth,Danny,Daniel Weston,,,,1985,9,30,,,,2007,2017,2010,2016,2005,2007,,,,,,,,,,
1028ff5b,1028ff5b-6e82-4d8d-ae35-a05ef88f29ad,671056,herri001,herreiv01,herrer002iva,20599,,,,,,Herrera,Iván,Iván Aaron,,,,2000,6,1,,,,2017,2024,2022,2024,,,,,,,,,,,,
1035504a,1035504a-c64d-4847-883c-10666282af77,467055,sandp001,sandopa01,sandov001pab,5409,,,,,Q1190237,Sandoval,Pablo,Pablo Emilio,,,,1986,8,11,,,,2004,2024,2008,2021,,,,,,,,,,,,
103b9069,103b9069-bab7-41e6-998e-09ff7be890a6,621139,krisb001,kriskbr01,kriske000bro,21189,53955155,,,,Q98045134,Kriske,Brooks,Brooks Joseph,,,,1994,2,3,,,,2016,2024,2020,2023,2013,2016,,,,,,,,,,
104210c1,104210c1-23e7-4b1d-8076-7f341640858a,680716,ornej001,orneljo01,ornela000jon,24597,,,,,,Ornelas,Jonathan,Jonathan,,,,2000,5,26,,,,2018,2024,2023,2024,,,,,,,,,,,,
107b03be,107b03be-1e5a-45f0-b167-b280d18504fa,650911,sancc002,sanchcr01,sanche000cri,20778,,,,,Q75876814,Sánchez,Cristopher,Cristopher Alexis,,Valera,,1996,12,12,,,,2014,2024,2021,2024,,,,,,,,,,,,
108e3c50,108e3c50-9e0e-433b-8a93-163774d9e93e,605353,machv001,machivi01,machin000vim,17684,,,,,Q97738548,Machín,Vimael,Vimael,,Soto,,1993,9,25,,,,2015,2024,2020,2022,2012,2015,,,,,,,,,,
109e3364,109e3364-520f-45c9-bb5d-6b9640a98d5e,663878,pearn001,pearsna01,pearso000nat,20160,,,,,,Pearson,Nate,Nathan Alexander,,,,1996,8,20,,,,2017,2024,2020,2024,2016,2016,,,,,,,,,,
10b77239,10b77239-3108-48fb-8b82-5b0675125dd8,656730,megit001,megiltr01,megill000tre,17722,,,,,,Megill,Trevor,Trevor J.,,,,1993,12,5,,,,2015,2024,2021,2024,2012,2015,,,,,,,,,,
10b9251f,10b9251f-7304-420f-b41e-87282dfbba03,605504,thomd004,thomadi01,thomas000dil,12719,,,,,Q107203660,Thomas,Dillon,Dillon Everett,,,,1992,12,10,,,,2011,2024,2021,2022,,,,,,,,,,,,
10cf1d71,10cf1d71-18fd-4dac-9f1b-a97182708dcd,591994,garcw001,garciwi01,garcia007wil,12956,,,,,Q29414906,García,Willy,Willy Camilo,,Archivol,,1992,9,4,,,,2010,2024,2017,2017,,,,,,,,,,,,
1108ea6a,1108ea6a-79f1-4fba-b931-1a0524138654,518466,blasj001,blashja01,blash-001jab,11247,23325138,,,,Q17517191,Blash,Jabari,Jabari Jerell,,,,1989,7,4,,,,2010,2020,2016,2018,,,,,,,,,,,,
1119a8c9,1119a8c9-9b40-45b6-ac6f-08f3be388aab,445213,kintb001,kintzbr01,kintzl001bra,9939,,,,,Q2923763,Kintzler,Brandon,Brandon Lee,,,,1984,8,1,,,,2004,2022,2010,2021,,,,,,,,,,,,
1121c1a4,1121c1a4-f537-456d-87bd-7b1c6c611292,598271,johnb004,johnsbr02,johnso006chr,14272,,,,,Q4964224,Johnson,Brian,Christopher Brian,,,,1990,12,7,,,,2012,2021,2015,2019,2010,2012,,,,,,,,,,
112cca4d,112cca4d-c3eb-4a9c-89ba-b4d26783dc25,643478,paluj001,palumjo01,palumb000jos,17035,,,,,Q64980174,Palumbo,Joe,Joseph Anthony,,,,1994,10,26,,,,2013,2024,2019,2020,,,,,,,,,,,,
11332b53,11332b53-2714-42b5-ac36-489942b8b709,592280,eader001,eadesry01,eades-001rya,14808,,,,,Q44980087,Eades,Ryan,Ryan Nelson,,,,1991,12,15,,,,2013,2021,2019,2019,2011,2013,,,,,,,,,,
1146c2b2,1146c2b2-3111-4c07-82e2-b3d1df122866,594867,jayem001,jayemy01,jaye--001myl,11769,,,,,Q38458281,Jaye,Myles,Myles Joseph,,,,1991,12,28,,,,2011,2018,2017,2017,,,,,,,,,,,,
1162de81,1162de81-e172-464d-9994-c544ef5fee0b,519203,rizza001,rizzoan01,rizzo-001ant,3473,,,,,Q2852937,Rizzo,Anthony,Anthony Vincent,,,,1989,8,8,,,,2007,2024,2011,2024,,,,,,,,,,,,
1170c0ad,1170c0ad-f534-41b4-80fd-48ff390f8446,453329,buchc001,buchhcl01,buchho001cla,3543,,,,,Q2978706,Buchholz,Clay,Clay Daniel,,,,1984,8,14,,,,2005,2019,2007,2019,2004,2005,,,,,,,,,,
1173d44c,1173d44c-f360-4b03-a773-3a707d955190,673316,barkl002,barkelu01,barker000luk,19609,,,,,Q112244961,Barker,Luke,Luke William,,,,1992,3,11,,,,2016,2024,2022,2022,2012,2015,,,,,,,,,,
117d8d6a,117d8d6a-fb01-4c4b-a02a-075213c3dfb6,440251,rober002,roberry01,robert002rya,5653,,,,,Q3453848,Roberts,Ryan,Ryan Alan,,,Tattman,1980,9,19,,,,2003,2015,2006,2014,2000,2003,,,,,,,,,,
11b9597b,11b9597b-c5fc-4b60-8652-4ae3d3297d1b,624414,arroc001,arroych01,arroyo000chr,16434,,,,,Q24809843,Arroyo,Christian,Christian Israel,,,,1995,5,30,,,,2013,2024,2017,2023,,,,,,,,,,,,
11c2ee22,11c2ee22-9d11-4684-bd62-115c4fe8d9f1,489267,rosaa001,rosalad01,rosale001ada,9682,,,,,Q2824005,Rosales,Adam,Adam Marcos,,,,1983,5,20,,,,2005,2019,2008,2018,2002,2005,2021,2023,,,,,,,,
