key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_wikidata,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
500fa607,500fa607-8ba8-44dd-adee-9bca4b8eb2ac,595411,sherr001,sherrry01,sherri001rya,12249,,,,,Q27062663,Sherriff,Ryan,Ryan Sebastian,,,,1990,5,25,,,,2011,2024,2017,2023,,,,,,,,,,,,
5022b1cf,5022b1cf-f76f-4ca4-8aef-a8d31bffeb93,621057,garzj001,garzaju01,garza-002jus,19784,,,,,Q107343471,Garza,Justin,Justin Charles,,,,1994,3,20,,,,2016,2024,2021,2023,2013,2015,,,,,,,,,,
502f6b1e,502f6b1e-596f-4214-a160-2e0bdac1d338,493117,fujik001,fujikky01,fujika001kyu,14443,71073888,,,,Q907774,Fujikawa,Kyuji,Kyuji,,,,1980,7,21,,,,2000,2020,2013,2015,,,,,,,,,,,,
5043504f,5043504f-5957-4833-807c-1f0ba9244a1e,676709,ticet001,ticety01,tice--000ty-,20177,,,,,Q106451300,Tice,Ty,Ty Christian,,,,1996,7,4,,,,2017,2024,2021,2021,2015,2017,,,,,,,,,,
5055bc22,5055bc22-01d2-4578-981f-b5add10b94d9,542882,andrm001,andrima01,andrie001mat,12022,73775155,,,,Q19798254,Andriese,Matt,Matthew Lee,,,,1989,8,28,,,,2011,2024,2015,2024,2009,2011,,,,,,,,,,
50798083,50798083-500e-4cc4-a327-324a09e0a455,593527,torrr002,torrera01,torres002ram,14113,,,,,Q30094108,Torres,Ramón,Ramón Alexander,,,,1993,1,22,,,,2010,2024,2017,2018,,,,,,,,,,,,
5091436e,5091436e-73ee-42b0-bf46-f0e713f03cdd,605540,woodb005,woodrbr01,woodru000bra,16162,,,,,Q29833546,Woodruff,Brandon,Brandon Kyle,,,,1993,2,10,,,,2014,2023,2017,2023,2012,2014,,,,,,,,,,
50a1805d,50a1805d-15df-47fd-8e41-b2c9383ee40a,664871,dowdk001,dowdyky01,dowdy-000kyl,19285,,,,,Q62570971,Dowdy,Kyle,Kyle Alexander,,,,1993,2,3,,,,2016,2023,2019,2022,2012,2015,,,,,,,,,,
5118af90,5118af90-82c2-44bb-a0d9-0455be3aa38c,676831,whitk001,whitlko01,whitle000kod,19731,,,,,Q97685811,Whitley,Kodi,Kodi James,,,,1995,2,21,,,,2017,2023,2020,2022,2014,2017,,,,,,,,,,
514c9fe3,514c9fe3-9820-428d-aad4-5262d472e9a0,592273,drurb001,drurybr01,drury-001bra,11615,,,,,Q18001063,Drury,Brandon,Brandon Shane,,,,1992,8,21,,,,2010,2024,2015,2024,,,,,,,,,,,,
51760087,51760087-e764-4236-b8df-cb1da711a60a,544727,famij001,familje01,famili001jeu,5114,,,,,Q3178206,Familia,Jeurys,Jeurys,,,,1989,10,10,,,,2008,2024,2012,2023,,,,,,,,,,,,
517a439c,517a439c-e114-41bd-b05e-2b90213ee45d,676480,garcj007,garcijo02,garcia047jos,23378,,,,,Q100377998,Barrero,José,José Israel,,,,1998,4,5,,,,2016,2024,2020,2023,,,,,,,,,,,,
5183222f,5183222f-cca2-416f-9ef5-75fa5ebb60cd,572102,sampk001,sampske01,sampso001key,10039,,,,,Q15978717,Sampson,Keyvius,Keyvius Nathaniel,,,,1991,1,6,,,,2009,2024,2015,2016,,,,,,,,,,,,
51913bf3,51913bf3-7584-460e-bbce-812efddf54fd,676917,cavac001,cavalca01,cavall000cad,27473,,,,,,Cavalli,Cade,Steven Cade,,,,1998,8,14,,,,2021,2024,2022,2022,2018,2020,,,,,,,,,,
5198a973,5198a973-39c0-406b-bb03-9202fdea5beb,656412,faeda001,faedoal01,faedo-000ale,19874,,,,,,Faedo,Alex,Alexander Michael,,,,1995,11,12,,,,2018,2024,2022,2024,2015,2017,,,,,,,,,,
51b1f25b,51b1f25b-88c7-425e-9ba9-3f01dc60b2a6,657272,uelme001,uelmeer01,uelmen000eri,20323,,,,,Q113144588,Uelmen,Erich,Erich William,,,,1996,5,19,,,,2017,2024,2022,2023,2015,2017,,,,,,,,,,
51b64aad,51b64aad-e31b-4ae7-bf78-50aaed048992,669735,rodrc002,rodrich01,rodrig007chr,22310,,,,,Q106371730,Rodriguez,Chris,Chris,,,,1998,7,20,,,,2016,2024,2021,2021,,,,,,,,,,,,
51b99378,51b99378-0902-482d-b22c-1625efb6d25a,663897,willl001,willilu01,willia000luc,19931,,,,,Q107210196,Williams,Luke,Lucas Daniel,,,,1996,8,9,,,,2015,2024,2021,2024,,,,,,,,,,,,
51c62ed4,51c62ed4-77c7-435b-a4ef-eb5bce7f1ece,593144,rodrr008,rodriri05,rodrig010ric,13549,,,,,Q38567259,Rodríguez,Richard,Richard Agustin,,,,1990,3,4,,,,2010,2024,2017,2021,,,,,,,,,,,,
51cc2a77,51cc2a77-26d8-419b-9277-c35ffd5d7551,666134,jonen002,jonesno01,jones-000nol,20529,,,,,,Jones,Nolan,Nolan Allen,,,,1998,5,7,,,,2016,2024,2022,2024,,,,,,,,,,,,
51cf5706,51cf5706-a441-4b32-b768-593c07c1c2d0,676684,vestw001,vestwi01,vest--000wil,19769,,,,,Q104093814,Vest,Will,William Lane,,,,1995,6,6,,,,2017,2024,2021,2024,2014,2017,,,,,,,,,,
51de83f7,51de83f7-bd9d-4d1d-8b03-4ddc9cf2bb60,663559,faltb001,falteba01,falter000bai,20070,,,,,Q106625819,Falter,Bailey,Bailey,,,,1997,4,24,,,,2015,2024,2021,2024,,,,,,,,,,,,
51e3b9fa,51e3b9fa-9622-4606-b086-9ec4bf2b8046,435045,sants001,santose01,santos001ser,4734,,,,,Q3479692,Santos,Sergio,Sergio Jose,,,,1983,7,4,,,,2002,2015,2010,2015,,,2022,2024,,,,,,,,
523671f8,523671f8-5d99-42aa-ad9e-8193fa698ee9,642707,corda001,cordoal01,cordob000all,15722,,,,,Q29107533,Córdoba,Allen,Allen Octavio,,Pose,,1995,12,6,,,,2013,2024,2017,2017,,,,,,,,,,,,
5236c650,5236c650-e96c-4aa8-9d31-619e40ff03d1,621545,remiz001,remilza01,remill000zac,19788,,,,,,Remillard,Zach,Zachary Michael,,,,1994,2,21,,,,2016,2024,2023,2024,2013,2016,,,,,,,,,,
524a3f14,524a3f14-8d73-4153-b12a-3a027b7e2a58,690925,beetc001,beetecl01,beeter000cla,27494,,,,,,Beeter,Clayton,Clayton Howard,,,,1998,10,9,,,,2021,2024,2024,2024,2019,2020,,,,,,,,,,
5257a7a2,5257a7a2-52f8-42e9-852e-20f981950bb6,641999,ray-c002,rayco01,ray---000cor,19170,,,,,Q23017177,Ray,Corey,Corey Donte,,,,1994,9,22,,,,2016,2022,2021,2021,2014,2016,2024,2024,,,,,,,,
52614d15,52614d15-6f35-4cde-a3fb-4786e1b785e3,435625,schin001,schiena01,schier001nat,6201,,,,,Q3119895,Schierholtz,Nate,Nathan John,,,,1984,2,15,,,,2003,2016,2007,2014,2003,2003,,,,,,,,,,
5265a8e9,5265a8e9-878f-4910-bf99-ac3a3174e93d,573589,ynoam001,ynoami01,ynoa--001mic,14093,,,,,Q6835484,Ynoa,Michael,Michael Jose,,Ventura,,1991,9,24,,,,2010,2024,2016,2017,,,,,,,,,,,,
52671fd1,52671fd1-1d0d-45cb-ac2c-46da213e8a40,681807,fry-d001,fryda01,fry---002dav,24934,,,,,,Fry,David,David James,,,,1995,11,20,,,,2018,2024,2023,2024,2015,2018,,,,,,,,,,
527377e7,527377e7-83de-4ef4-beda-040e04149aa8,641771,kuhlc001,kuhlch01,kuhl--000cha,14975,,,,,Q24851455,Kuhl,Chad,Chad Michael,,,,1992,9,10,,,,2013,2024,2016,2024,2011,2013,,,,,,,,,,
527f65ae,527f65ae-b3e4-4275-9166-d4adb82cc62a,429781,corrk001,correke01,correi001kev,1767,,,,,Q3195686,Correia,Kevin,Kevin John,,,,1980,8,24,,,,2002,2015,2003,2015,2000,2002,,,,,,,,,,
5281687e,5281687e-b502-4071-8e5a-40c7a94831b0,501625,alvaj003,alvarjo02,alvare009jos,5358,,,,,Q13582444,Álvarez,José,José Ricardo,,,,1989,5,6,,,,2006,2024,2013,2022,,,,,,,,,,,,
52912db2,52912db2-93c5-47e7-8c80-f2ef6e0dcb51,591741,osunj001,osunajo01,ozuna-001jos,12937,23525153,,,,Q29482711,Osuna,José,José Gregorio,,,,1992,12,12,,,,2010,2024,2017,2020,,,,,,,,,,,,
52a3cf9e,52a3cf9e-ab9b-4533-802d-a93336a2327e,541600,tovaw001,tovarwi01,tovar-001wil,10416,,,,,Q15628952,Tovar,Wilfredo,Wilfredo Jose,,Soto,,1991,8,11,,,,2008,2024,2013,2021,,,,,,,,,,,,
52c951c1,52c951c1-4422-4f8a-b114-4f03474c92e1,592547,mcgud001,mcguide02,mcguir005wil,11596,,,,,Q18350895,McGuire,Deck,William Deck,,,,1989,6,23,,,,2011,2022,2017,2018,,,,,,,,,,,,
52db678d,52db678d-a3b2-4837-8c61-f4aba38cecf3,681962,caprv001,capravi01,capra-001vin,25040,,,,,Q108218768,Capra,Vinny,Vincent James,,,,1996,7,7,,,,2018,2024,2022,2024,2017,2018,,,,,,,,,,
