key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_wikidata,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
60096e9a,60096e9a-b343-4d92-90c8-4733777e8a37,669618,barlj001,barlojo01,barlow000joe,22296,,,,,Q107343456,Barlow,Joe,Joseph Israel,,,,1995,9,28,,,,2016,2024,2021,2023,,,,,,,,,,,,
6020b1f4,6020b1f4-4854-4617-a86b-33e3f959c901,430911,aardd001,aardsda01,aardsm001dav,1902,,,,,Q1208089,Aardsma,David,David Allan,,,,1981,12,27,,,,2003,2017,2004,2015,2001,2003,,,,,,,,,,
603a3487,603a3487-fec4-4947-92c6-474912aced72,650644,civaa001,civalaa01,civale000aar,19479,,,,,Q64780742,Civale,Aaron,Aaron James,,,,1995,6,12,,,,2016,2024,2019,2024,2014,2016,,,,,,,,,,
605248a6,605248a6-f557-440d-834c-35e6fc95d96c,666464,encaj002,encarje01,encarn000yer,21871,,,,,,Encarnacion,Jerar,Jerar Luis,,Olmos,,1997,10,22,,,,2016,2024,2022,2024,,,,,,,,,,,,
60555660,60555660-1f7b-4ba6-b1d8-4a23580254ed,448855,guerj003,guerrju02,guerra001jun,5702,,,,,Q20088611,Guerra,Junior,Junior J.,,,,1985,1,16,,,,2003,2024,2015,2021,,,,,,,,,,,,
606031bf,606031bf-cff1-4c35-98e9-aa8b24c0dbc7,663978,paddc001,paddach01,paddac000chr,20099,,,,,Q62571018,Paddack,Chris,Christopher Joseph,,,,1996,1,8,,,,2015,2024,2019,2024,,,,,,,,,,,,
608f31cf,608f31cf-f7b6-4dbd-94f3-1b5f75ed5f1e,519393,waldm002,waldema01,walden001mar,8004,,,,,Q50999111,Walden,Marcus,Marcus Walter,,,,1988,9,13,,,,2007,2023,2018,2020,,,,,,,,,,,,
609315d6,609315d6-f835-4062-88d1-ea184b215c5d,666745,britj003,britojh01,brito-000jho,25386,,,,,,Brito,Jhony,Jhony Rafael,,Feliz,,1998,2,17,,,,2016,2024,2023,2024,,,,,,,,,,,,
60e5ec60,60e5ec60-60a9-483b-861e-8569e66beedc,686668,doylb001,doylebr02,doyle-000bre,25479,,,,,,Doyle,Brenton,Brenton Edward,,,,1998,5,14,,,,2019,2024,2023,2024,2017,2019,,,,,,,,,,
60ee2869,60ee2869-1cd7-40be-a02d-f99125f1fd46,596112,stepr002,stephro01,stephe006rob,13594,,,,,Q7350038,Stephenson,Robert,Robert William,,,,1993,2,24,,,,2012,2024,2016,2023,,,,,,,,,,,,
60fa4272,60fa4272-42dd-423d-b574-a4223761c473,519008,mcfat001,mcfartj01,mcfarl001tj-,3237,,,,,Q10337116,McFarland,T. J.,Timothy John,,,,1989,6,8,,,,2008,2024,2013,2024,,,,,,,,,,,,
611522c1,611522c1-7861-4064-a662-4d6898152079,460579,morgn001,morgany01,morgan001nyj,4885,61865137,,,,Q861733,Morgan,Nyjer,Nyjer Jamid,,,Tony Plush,1980,7,2,,,,2003,2017,2007,2014,2001,2002,,,,,,,,,,
6128e02f,6128e02f-5844-4b4a-9f8f-9ea6aaea3dc9,453203,robis001,robinsh01,robins001sha,4249,,,,,Q3481377,Robinson,Shane,Shane Michael,,,,1984,10,30,,,,2006,2021,2009,2018,2004,2006,,,,,,,,,,
6136c974,6136c974-5d0b-42f6-8d37-470294caaa3d,407793,lackj001,lackejo01,lackey002joh,1507,,,,,Q3178824,Lackey,John,John Derran,,,,1978,10,23,,,,1999,2017,2002,2017,1998,1999,,,,,,,,,,
613e9d5c,613e9d5c-31ac-4db2-b72d-2a03670a7157,673451,akiys001,akiyash01,akiyam000sho,27461,31135133,,,,Q11595041,Akiyama,Shogo,Shogo,,,,1988,4,16,,,,2011,2024,2020,2021,,,,,,,,,,,,
614c3058,614c3058-08af-4467-b78d-5766b756f681,588751,hecha001,hechaad01,hechav001ade,10459,33035153,,,,Q2824173,Hechavarría,Adeiny,Adeiny,,Barrera,,1989,4,15,,,,2006,2024,2012,2020,,,,,,,,,,,,
6178c693,6178c693-7174-4fb1-a184-384803ab08aa,460269,gimec001,gimench01,gimene001chr,7324,,,,,Q2964720,Gimenez,Chris,Christopher Paul,,,,1982,12,27,,,,2004,2018,2009,2018,2002,2004,,,,,,,,,,
61b03e07,61b03e07-c9ba-40f5-bd13-8377776887c2,493141,,,nakaji001hir,14446,01005113,,,,,Nakajima,Hiroyuki,Hiroyuki,,,,1982,7,31,,,,2002,2024,,,,,,,,,,,,,,
61e632b4,61e632b4-e791-4349-a833-9f0e88bb2547,670056,barac001,baragca01,barage000cal,19231,,,,,Q97626771,Baragar,Caleb,Caleb,,,,1994,4,9,,,,2016,2024,2020,2021,2015,2016,,,,,,,,,,
6215928c,6215928c-30b5-4232-9961-88b646fae246,621076,kaprj001,kaprija01,kaprie000jam,18331,,,,,Q19881149,Kaprielian,James,James Douglas,,,,1994,3,2,,,,2015,2024,2020,2023,2013,2015,,,,,,,,,,
622c9e87,622c9e87-c357-490d-bd2c-fb8c2082ef2a,623182,kivlp001,kivlepa01,kivleh000pat,13910,63265155,,,,Q17306153,Kivlehan,Patrick,Patrick Anthony,,,,1989,12,22,,,,2012,2023,2016,2021,2012,2012,,,,,,,,,,
623266f1,623266f1-ff4f-40d3-bfea-ecd4f5eb41ad,571760,heana001,heanean01,heaney001and,15423,,,,,Q4757270,Heaney,Andrew,Andrew Mark,,,,1991,6,5,,,,2012,2024,2014,2024,2010,2012,,,,,,,,,,
623e0e60,623e0e60-2ca6-4b00-b7e2-dad07c23785b,656514,hasea001,haselad01,hasele000ada,19878,,,,,Q29474928,Haseley,Adam,Adam Donald,,,,1996,4,12,,,,2017,2023,2019,2023,2015,2017,,,,,,,,,,
62540694,62540694-406e-47d6-9d10-49305f8aeff1,465679,dedus001,dedunsa01,deduno001sam,5285,,,,,Q3471103,Deduno,Sam,Samuel,,Lake,,1983,7,2,,,,2004,2018,2010,2015,,,,,,,,,,,,
62586b55,62586b55-4899-4e8b-bf73-dfed2e4626fe,543475,lylej001,lylesjo01,lyles-001jor,7593,,,,,Q377491,Lyles,Jordan,Jordan Horton,,,,1990,10,19,,,,2008,2024,2011,2024,,,,,,,,,,,,
625d0034,625d0034-eaa7-4308-9928-7ceb8ae115db,642130,taylb004,taylobl01,taylor002bla,16418,,,,,Q97721715,Taylor,Blake,Blake Michael,,,,1995,8,17,,,,2013,2024,2020,2022,,,,,,,,,,,,
6278dfa5,6278dfa5-6f03-4a8f-81a1-e86304ac675b,592346,gonzc002,gonzach01,gonzal001ale,14663,,,,,Q20022762,González,Chi Chi,Alexander,,,,1992,1,15,,,,2013,2023,2015,2023,2011,2013,,,,,,,,,,
628392db,628392db-64fc-46b9-89b2-4e1954fa9d76,664294,mored002,moretda01,moreta000dau,21101,,,,,,Moreta,Dauri,Dauri Michell,,Perez,,1996,4,15,,,,2015,2023,2021,2023,,,,,,,,,,,,
6284f67d,6284f67d-3f3b-4609-8893-dd6816e90f6a,687888,waltb002,waltebr01,walter000bra,26056,,,,,,Walter,Brandon,Brandon Lee,,,,1996,9,8,,,,2019,2023,2023,2023,2016,2019,,,,,,,,,,
6293b884,6293b884-afe2-4476-8f2a-d90eaab82d34,547874,iwakh001,iwakuhi01,iwakum001his,13048,01105111,,,,Q1148945,Iwakuma,Hisashi,Hisashi,,,,1981,4,12,,,,2001,2019,2012,2017,,,,,,,,,,,,
629b4792,629b4792-9d25-464b-b807-3dfd6dd2edab,594986,ryank002,ryanky01,ryan--001kyl,11753,,,,,Q17746513,Ryan,Kyle,Kyle,,,,1991,9,25,,,,2010,2022,2014,2021,,,,,,,,,,,,
62b4d109,62b4d109-f262-4a5d-a8ee-802d411ebd4d,605400,nolaa001,nolaaa01,nola--000aar,16149,,,,,Q16235688,Nola,Aaron,Aaron Michael,,,,1993,6,4,,,,2014,2024,2015,2024,2012,2014,,,,,,,,,,
62b6bf66,62b6bf66-c5fd-45ff-8c2b-656e04070f12,502281,hatlm001,hatlema01,hatley001mar,4002,,,,,Q20631192,Hatley,Marcus,Marcus Allen,,,,1988,3,26,,,,2007,2015,2015,2015,,,,,,,,,,,,
6316009d,6316009d-6760-4305-af9e-b86da149b33b,519304,soton001,sotone01,soto--001nef,5663,03505136,,,,Q6987041,Soto,Neftali,Neftali O.,,,,1989,2,28,,,,2007,2024,2013,2014,,,,,,,,,,,,
637059e5,637059e5-739f-4a42-8afb-fa3c10b1ecfb,462564,uggld001,ugglada01,uggla-001dan,3442,,,,,Q1083403,Uggla,Dan,Daniel Cooley,,,,1980,3,11,,,,2001,2015,2006,2015,1999,2001,,,,,,,,,,
63719224,63719224-28d8-46bd-9226-3ff7ec224a5b,622226,cozed001,cozendy01,cozens000dyl,15115,,,,,Q29841080,Cozens,Dylan,Dylan Wallace,,,,1994,5,31,,,,2012,2021,2018,2019,,,,,,,,,,,,
638189d3,638189d3-dd8b-4542-b925-44fab88bee01,672715,patil001,patinlu01,patino000lui,22815,,,,,Q66479977,Patiño,Luis,Luis Fernando,,Arzuza,,1999,10,26,,,,2017,2023,2020,2023,,,,,,,,,,,,
639bbc74,639bbc74-4310-4914-adb2-5c0d4ac9d023,518813,hollg001,hollagr01,hollan001gre,7196,,,,,Q3116245,Holland,Greg,Gregory Scott,,,,1985,11,20,,,,2007,2022,2010,2022,2005,2007,,,,,,,,,,
63a7de3f,63a7de3f-c979-4dbc-bf4c-16438712bdc5,553883,campv001,campovi01,campos003jos,11681,,,,,Q26702451,Campos,Vicente,Jose Vicente,,Carnota,,1992,7,27,,,,2009,2024,2016,2016,,,,,,,,,,,,
