key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_wikidata,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
af3a9425,af3a9425-aaa3-4005-86fd-24633a1601a0,552662,romes001,romerst01,romero003ste,11746,73975134,,,,Q7606584,Romero,Stefen,Stefen Daniel,,,,1988,10,17,,,,2011,2023,2014,2016,,,,,,,,,,,,
af6c285c,af6c285c-412b-4131-acb5-3a0fd9b24a6e,595909,cavej001,caveja01,cave--000jak,14477,,,,,Q17465789,Cave,Jake,Andrew Jacob,,,,1992,12,4,,,,2011,2024,2018,2024,,,,,,,,,,,,
af717437,af717437-6775-464f-ae54-23aa9bd9c0f7,595928,curtj003,curtijo02,curtis008joh,16128,,,,,Q38143211,Curtiss,John,John Pickens,,,,1993,4,5,,,,2014,2024,2017,2024,2012,2014,,,,,,,,,,
af73fe80,af73fe80-33e4-4ba7-9d4f-6ad58aff98fb,668731,badda001,baddoak01,baddoo000aki,22168,,,,,Q104162085,Baddoo,Akil,Akil Neomon,,,,1998,8,16,,,,2016,2024,2021,2024,,,,,,,,,,,,
af75bec1,af75bec1-888f-4e9a-95ac-70f896767920,430912,cainm001,cainma01,cain--001mat,4732,,,,,Q1185532,Cain,Matt,Matthew Thomas,,,,1984,10,1,,,,2002,2017,2005,2017,,,,,,,,,,,,
af9b4c1b,af9b4c1b-499a-4b6a-93e2-966055865670,686823,brenw002,brennwi02,brenna008wil,25660,,,,,,Brennan,Will,William Daniel,,,,1998,2,2,,,,2019,2024,2022,2024,2017,2019,,,,,,,,,,
af9c5a68,af9c5a68-468c-45a1-b3f5-1992a9c3d7f3,641505,davij007,davisjo05,davis-004jon,15104,,,,,Q60733860,Davis,Jonathan,Jonathan Rayshad,,,,1992,5,12,,,,2013,2024,2018,2023,2011,2013,,,,,,,,,,
af9f2ffd,af9f2ffd-8961-4093-8dc8-78ecd15a9feb,596143,sardl001,sardilu01,sardin001lui,13153,,,,,Q16160801,Sardiñas,Luis,Luis Alexander,,Avilez,,1993,5,16,,,,2010,2024,2014,2018,,,,,,,,,,,,
afa7a283,afa7a283-29ae-4ddb-a9a1-074383da1bdb,455374,basta001,bastaan01,bastar001ant,8844,,,,,Q2857200,Bastardo,Antonio,Antonio Francisco,,Rafael,,1985,9,21,,,,2006,2019,2009,2017,,,,,,,,,,,,
afb3d3b6,afb3d3b6-856b-49bc-ac78-19f9c1e384f9,643316,fry-p001,frypa01,fry---000pau,15832,,,,,Q30027983,Fry,Paul,Paul Raymond,,,,1992,7,26,,,,2013,2024,2018,2022,,,,,,,,,,,,
afca800a,afca800a-7a85-407c-8f4c-f5b468f718bb,472610,garcl005,garcilu03,garcia011lui,6984,,,,,Q14199177,García,Luis,Luis Amado,,,,1987,1,30,,,,2006,2024,2013,2024,,,,,,,,,,,,
afff1ff2,afff1ff2-0efd-45ed-a920-0e4b0dccc279,605528,wheej001,wheelja01,wheele000jas,13128,,,,,Q30099011,Wheeler,Jason,Jason McDonald,,,,1990,10,27,,,,2012,2018,2017,2017,2009,2011,,,,,,,,,,
