start,end,team,name,notes
2018-07-20,2018-10-29,Indians,• Lonnie Chisenhall,transferred to 60-day DL with strained left calf (out for season)
2018-07-30,2018-09-01,Blue Jays,• Josh Donaldson,transferred to 60-day DL with tightness in left calf
2018-08-05,2018-10-12,Athletics,• Jake Smolinski,placed on 60-day DL with blood clot in left calf
2019-06-07,2019-07-25,Yankees,• Troy Tulowitzki,transferred to 60-day IL with strained left calf
2021-06-28,2021-11-05,Angels,• Mike Trout,transferred to 60-day IL with strained right calf
2022-04-07,2022-06-17,Reds,• Max Schrock,placed on 60-day IL with strained left calf
2022-08-27,2022-11-10,Nationals,• Yadiel Hernandez,transferred to 60-day IL with strained left calf
2022-09-01,2022-11-08,Reds,• Mike Moustakas,transferred to 60-day IL with strained left calf
