key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_wikidata,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
9aab407e,9aab407e-2972-47c2-a963-ad948f8fd9e7,572362,erlir001,erlinro01,erlin-001rob,10354,93595153,,,,Q13302128,Erlin,Robbie,Robert Joseph,,,,1990,10,8,,,,2009,2023,2013,2022,,,,,,,,,,,,
9ab9ab30,9ab9ab30-88e3-416e-922c-4f09f3dc7856,543629,pastt001,pastoty01,pastor001tyl,6777,,,,,Q3546030,Pastornicky,Tyler,Tyler Brock,,,,1989,12,13,,,,2008,2015,2012,2014,,,,,,,,,,,,
9ad51ee7,9ad51ee7-13aa-47cf-a0b3-2bd218d96d93,641343,bauej001,bauerja01,bauers000jak,15194,,,,,Q18684647,Bauers,Jake,Jakob Christopher,,,,1995,10,6,,,,2013,2024,2018,2024,,,,,,,,,,,,
9adcdf2a,9adcdf2a-82e6-466d-8e0f-dcd1e6845b0a,465668,bernr001,bernaro01,bernad001rog,6421,,,,,Q2219401,Bernadina,Roger,Rogearvin Argelo,,,The Shark,1984,6,12,,,,2002,2024,2008,2014,,,,,,,,,,,,
9b072369,9b072369-30ae-4e68-bdef-dde61b894634,656484,grayt001,graytr01,gray--000tri,19877,,,,,,Gray,Tristan,Tristan Colby,,,,1996,3,22,,,,2017,2024,2023,2024,2015,2017,,,,,,,,,,
9b0770f3,9b0770f3-9aa9-4e1f-970f-f24b0da3890d,664918,kellk003,kelleky01,keller000kyl,18890,73975155,,,,Q66187674,Keller,Kyle,Kyle Robert,,,,1993,4,28,,,,2015,2024,2019,2021,2012,2015,,,,,,,,,,
9b2afdb2,9b2afdb2-2880-40e9-bb5e-6b2f61582aa5,462405,conrb001,conrabr01,conrad001bro,3664,41645137,,,,Q2926171,Conrad,Brooks,Brooks Litchfield,,,,1980,1,16,,,,2001,2016,2008,2014,1999,2001,2018,2024,,,,,,,,
9b3603c6,9b3603c6-eae6-41f9-b8fc-bd3ef679cc8f,516935,pimes001,pimenst01,piment001sto,6415,,,,,Q7618660,Pimentel,Stolmy,Stolmy Ramon,,,,1990,2,1,,,,2007,2021,2013,2015,,,,,,,,,,,,
9b3bdf4e,9b3bdf4e-6dd7-420a-ad8a-1278bb662252,516811,peree003,perezeu01,perez-001eur,10299,,,,,Q3060887,Pérez,Eury,Eury Eduardo,,,,1990,5,30,,,,2007,2024,2012,2015,,,,,,,,,,,,
9b3c7e1a,9b3c7e1a-7891-4daa-85ff-14468db5f43d,543302,herrc001,herrmch01,herrma001chr,9284,,,,,Q2964733,Herrmann,Chris,Christopher Ryan,,,,1987,11,24,,,,2009,2023,2012,2019,2009,2009,,,,,,,,,,
9b584708,9b584708-2cb6-46ae-b6b1-d2a9587478c0,456713,bushm001,bushma01,bush--001mat,1246,,,,,Q6788422,Bush,Matt,Matthew Brian,,,,1986,2,8,,,,2004,2023,2016,2023,,,,,,,,,,,,
9b7a327b,9b7a327b-d686-498a-9db2-db46da813714,659262,espia002,espinan01,espino005and,18593,43445159,,,,,Espinoza,Anderson,Anderson Jose,,Dominguez,,1998,3,9,,,,2015,2024,2022,2022,,,,,,,,,,,,
9b9869ec,9b9869ec-bff7-44dd-ae35-8a3e563fe182,681146,bridj001,bridejo01,bride-000jon,24703,,,,,Q112581303,Bride,Jonah,Jonah Michael,,,,1995,12,27,,,,2018,2024,2022,2024,2016,2018,,,,,,,,,,
9ba89ef9,9ba89ef9-9b97-4194-8d47-f1ff856b53a0,642121,sulsc001,sulseco01,sulser000col,15256,,,,,Q67087704,Sulser,Cole,Cole Young,,,,1990,3,12,,,,2013,2024,2019,2024,2009,2013,,,,,,,,,,
