key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_wikidata,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
2005572c,2005572c-0d74-4fe8-aaee-42c55fd347c7,623205,velaa001,velazan01,velazq000and,14196,,,,,Q18159034,Velazquez,Andrew,Andrew,,,,1994,7,14,,,,2012,2024,2018,2023,,,,,,,,,,,,
20235e72,20235e72-414c-4747-8cd3-c5e77ca0b574,499107,buenf001,buenofr01,bueno-001fra,5980,,,,,Q493200,Bueno,Francisley,Francisley,,Trueba,,1981,3,5,,,,1999,2019,2008,2014,,,,,,,,,,,,
2033a51c,2033a51c-21ea-4447-a620-d32508ad9cf1,670869,sotol001,sotoli01,soto--000liv,22471,,,,,,Soto,Livan,Livan Enrique,,Flores,,2000,6,22,,,,2017,2024,2022,2024,,,,,,,,,,,,
204251d8,204251d8-07fb-4b15-b2c4-72c23826ac93,643269,craiw001,craigwi01,craig-003wil,19267,,,,,Q24248312,Craig,Will,William Isaac,,,,1994,11,16,,,,2016,2021,2020,2021,2014,2016,,,,,,,,,,
204bb1da,204bb1da-07fb-4503-9d31-c7b7907e5b60,691016,sodet001,soderty01,soders000tyl,27467,,,,,,Soderstrom,Tyler,Tyler Christian,,,,2001,11,24,,,,2021,2024,2023,2024,,,,,,,,,,,,
205d5c4c,205d5c4c-3c2b-40f3-9330-43a183fbddb0,650556,abreb002,abreubr01,abreu-000bry,16609,,,,,Q66085269,Abreu,Bryan,Bryan Enrique,,Jimenez,,1997,4,22,,,,2014,2024,2019,2024,,,,,,,,,,,,
2065b967,2065b967-38e4-4f33-9880-ff778e69bc60,630105,cronj001,croneja01,cronen000jac,18036,,,,,Q70833756,Cronenworth,Jake,Jacob John,,,,1994,1,21,,,,2015,2024,2020,2024,2013,2015,,,,,,,,,,
206f23f0,206f23f0-4139-4b6d-92e0-7807603d2a73,491708,camia001,caminar01,camine001arq,8992,13515134,,,,Q15345901,Caminero,Arquimedes,Arquimedes Euclides,,,,1987,6,16,,,,2006,2021,2013,2016,,,,,,,,,,,,
20805448,20805448-d749-4bcb-a344-cc8145844751,460003,teagt001,teagata01,teagar001tay,5199,,,,,Q1046140,Teagarden,Taylor,Taylor Hill,,,,1983,12,21,,,,2005,2015,2008,2015,2003,2005,,,,,,,,,,
209ea554,209ea554-629e-4e76-b078-9812d95ab0f5,543054,cosaj001,cosarja01,cosart001jar,10304,,,,,Q6160968,Cosart,Jarred,Jarred Lynn,,,,1990,5,25,,,,2009,2017,2013,2017,,,,,,,,,,,,
20a51a22,20a51a22-894e-4376-abf0-cd983ece711f,643400,knigd001,knighdu01,knight003dus,16537,,,,,Q107882677,Knight,Dusten,Dusten Devoil,,,,1990,9,2,,,,2013,2022,2021,2022,2012,2013,,,,,,,,,,
20af2ca1,20af2ca1-790c-4a6b-8f1f-f480bbf862fb,579328,kikuy001,kikucyu01,kikuch000yus,20633,51755131,,,,Q8061867,Kikuchi,Yusei,Yusei,,,,1991,6,17,,,,2010,2024,2019,2024,,,,,,,,,,,,
20b78af4,20b78af4-f0fa-4815-ab8e-d9d3f359ff8d,547348,lee-c004,leech01,lee---001che,5177,83385132,,,,Q5969953,Lee,C. C.,Chen-Chang,,,,1986,10,21,,,,2009,2024,2013,2015,,,,,,,,,,,,
20f10e1e,20f10e1e-365e-4d27-86e4-d0497f2ddfb5,446386,guyeb001,guyerbr01,guyer-001bra,2636,,,,,Q948376,Guyer,Brandon,Brandon Eric,,,,1986,1,28,,,,2007,2019,2011,2018,2005,2007,,,,,,,,,,
210156b0,210156b0-d83e-41a3-934b-c64b81b4b706,425786,atchs001,atchisc01,atchis001sco,2642,01685116,,,,Q1085380,Atchison,Scott,Scott Barham,,,,1976,3,29,,,,1999,2015,2004,2015,1995,1999,,,,,,,,,,
210431f3,210431f3-9978-42d9-845a-3576dc58cb25,454975,iribh001,iribahe01,iribar001her,4177,,,,,Q3134290,Iribarren,Hernán,Hernán Alcides,,Rodriguez,,1984,6,29,,,,2004,2018,2008,2016,,,,,,,,,,,,
21046554,21046554-0916-4a10-9471-2f1002dc1a67,572971,keucd001,keuchda01,keuche001dal,9434,63265159,,,,Q401892,Keuchel,Dallas,Dallas,,,,1988,1,1,,,,2009,2024,2012,2024,2007,2009,,,,,,,,,,
21100405,21100405-40bd-4d86-873d-a9845cf4cf96,643615,zeuct001,zeuchtj01,zeuch-002tim,19269,,,,,Q24452246,Zeuch,T. J.,Timothy James,,,,1995,8,1,,,,2016,2024,2019,2022,2014,2016,,,,,,,,,,
211d6962,211d6962-e458-4f38-8923-0f573d6ca4e7,434567,sotog001,sotoge01,soto--001geo,3707,,,,,Q3103815,Soto,Geovany,Geovany,,Ponce,,1983,1,20,,,,2001,2017,2005,2017,,,,,,,,,,,,
2125fe7b,2125fe7b-f8fc-46d0-9eb0-8b5522996c1c,641360,bickp001,bickfph01,bickfo000phi,18519,,,,,Q16226653,Bickford,Phil,Phillip Roger,,,,1995,7,10,,,,2015,2024,2020,2024,2014,2014,,,,,,,,,,
212a6e25,212a6e25-e5b3-45e5-b938-b0eab9383162,624522,thomk002,thompke02,thomps000kee,19795,,,,,Q106690736,Thompson,Keegan,Keegan Cole,,,,1995,3,13,,,,2017,2024,2021,2024,2014,2017,,,,,,,,,,
2138ea0d,2138ea0d-c5a6-4a6a-a19e-b596b6ceb15e,502457,hayed001,hayesdr01,hayes-001and,10528,,,,,Q24004994,Hayes,Drew,Andrew Trent,,,,1987,9,3,,,,2010,2017,2016,2016,,,,,,,,,,,,
21393e70,21393e70-3cc1-48a4-9579-af132c7ba56a,608652,farrl001,farrelu01,farrel000luk,15101,,,,,Q32342453,Farrell,Luke,Luke Thomas,,,,1991,6,7,,,,2013,2024,2017,2022,2010,2013,,,,,,,,,,
21411783,21411783-728d-4a3b-b5b7-5ab9e18267a6,668684,tullt001,tullyta01,tully-000tan,19518,,,,,Q111668088,Tully,Tanner,Tanner Paul,,,,1994,11,30,,,,2016,2024,2022,2022,2014,2016,,,,,,,,,,
216a2ac5,216a2ac5-5e81-431f-9da6-aadeb31e21be,503437,berej003,beresja01,beresf001jam,4626,,,,,Q6129695,Beresford,James,James Richard,,,,1989,1,19,,,,2007,2016,2016,2016,,,,,,,,,,,,
216e5d91,216e5d91-de5f-4094-9c06-39bbd9ae6a0d,434378,verlj001,verlaju01,verlan001jus,8700,,,,,Q981788,Verlander,Justin,Justin Brooks,,,,1983,2,20,,,,2005,2024,2005,2024,2002,2004,,,,,,,,,,
216e75db,216e75db-5be9-4613-9339-f7ba92f544fc,592743,simma001,simmoan01,simmon002and,10847,,,,,Q2846523,Simmons,Andrelton,Andrelton Alexander,,,,1989,9,4,,,,2010,2023,2012,2022,,,,,,,,,,,,
217f5ad5,217f5ad5-5287-4f2f-8146-5fead9b45c4d,660896,alcaj001,alcaljo01,alcala000jor,19459,,,,,Q67594382,Alcalá,Jorge,Jorge Luis,,,,1995,7,28,,,,2015,2024,2019,2024,,,,,,,,,,,,
2180da04,2180da04-8b56-4d57-abd4-832204d90c6a,656638,langa001,langeal01,lange-000ale,19883,,,,,Q20707853,Lange,Alex,Alexander Craig,,,,1995,10,2,,,,2017,2024,2021,2024,2015,2017,,,,,,,,,,
21a415e3,21a415e3-2fe8-4a77-bd7a-11a76a5107ae,465674,cirip001,ciriape01,ciriac001ped,5278,,,,,Q3053030,Ciriaco,Pedro,Pedro Joel,,,,1985,9,27,,,,2005,2017,2010,2015,,,,,,,,,,,,
21a733cc,21a733cc-3beb-49be-90bd-35772827a2f4,607216,krehj001,krehbjo01,krehbi000jos,13707,,,,,Q55356997,Krehbiel,Joey,Joseph Roland,,,,1992,12,20,,,,2011,2024,2018,2023,,,,,,,,,,,,
21cf12a8,21cf12a8-b4ad-4ed9-9b34-e35920bf8b2a,542289,corcd001,corcida01,corcin001dan,9266,,,,,Q5216855,Corcino,Daniel,Daniel,,,,1990,8,26,,,,2008,2024,2014,2018,,,,,,,,,,,,
21eb8625,21eb8625-b07d-4e7f-a818-302fd07ac917,686610,waldk003,waldike01,waldic000ken,27681,,,,,,Waldichuk,Ken,Kenneth Dieter,,,,1998,1,8,,,,2019,2023,2022,2023,2017,2019,,,,,,,,,,
21fb5c2d,21fb5c2d-8068-495b-8d0d-dac1e7bc600c,681190,vasqr001,vasqura02,vasque001ran,24719,,,,,,Vásquez,Randy,Randy Marcelino,,Martinez,,1998,11,3,,,,2018,2024,2023,2024,,,,,,,,,,,,
220301cf,220301cf-28d4-4a56-b811-c58d00e1650d,592705,rumbn001,rumbeni01,rumbel000nic,14867,,,,,Q18157592,Rumbelow,Nick,Nicholas Bruno,,,,1991,9,6,,,,2013,2019,2015,2019,2011,2013,,,,,,,,,,
2206880e,2206880e-2cba-4c9a-9d99-ef764e85ac02,571718,goodb001,goodwbr01,goodwi001bri,12858,,,,,Q4963862,Goodwin,Brian,Brian Christopher,,,,1990,11,2,,,,2012,2023,2016,2021,,,,,,,,,,,,
2206bd20,2206bd20-0393-4371-ba92-71bb470e1e55,664350,sancs001,sanchsi01,sanche000six,19680,,,,,Q50345059,Sánchez,Sixto,Sixto,,Encarnacion,,1998,7,29,,,,2015,2024,2020,2024,,,,,,,,,,,,
