key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_wikidata,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
40006dea,40006dea-b8cf-409a-92bc-d2103255a6ff,607030,mccra001,mccread01,mccree000ada,19550,,,,,Q56037252,McCreery,Adam,Adam Glenn,,,,1992,12,31,,,,2014,2019,2018,2018,2012,2013,,,,,,,,,,
40067b5c,40067b5c-7ad1-4ea9-a6be-efe85ab743c7,680983,cacek001,cacerke01,cacere000kel,24681,,,,,,Caceres,Kelvin,Kelvin Jose,,Rodriguez,,2000,1,26,,,,2018,2023,2023,2023,,,,,,,,,,,,
4009314f,4009314f-9f9c-4ccb-bf41-754ca25f0f42,571448,arenn001,arenano01,arenad001nol,9777,,,,,Q7048171,Arenado,Nolan,Nolan James,,,,1991,4,16,,,,2009,2024,2013,2024,,,,,,,,,,,,
40160d22,40160d22-454f-4010-a12d-c73dbe78c599,656814,ortil002,ortizlu02,ortiz-008lui,16942,,,,,Q17183443,Ortiz,Luis,Luis Francisco,,,,1995,9,22,,,,2014,2024,2018,2024,,,,,,,,,,,,
4037c26a,4037c26a-5c62-4a07-a53c-5b18b42866d1,435079,kinsi001,kinslia01,kinsle001ian,6195,,,,,Q1046180,Kinsler,Ian,Ian Michael,,,,1982,6,22,,,,2003,2021,2006,2019,2001,2003,,,,,,,,,,
40476afa,40476afa-d645-4aea-b1b9-f9ef55d21805,676710,crawk001,crawfku01,crawfo000kut,20531,,,,,Q108442732,Crawford,Kutter,Kutter Martin,,,,1996,4,1,,,,2017,2024,2021,2024,2017,2017,,,,,,,,,,
405185e0,405185e0-20eb-421c-9a0e-b373bf8e6860,593974,peraw002,peralwa01,peralt001wan,14295,,,,,Q26775358,Peralta,Wandy,Wandy Luis,,Dominguez,,1991,7,27,,,,2010,2024,2016,2024,,,,,,,,,,,,
405b3e88,405b3e88-3017-4231-bbb8-4b418387634a,595465,winkd001,winklda01,winkle001dan,12237,,,,,Q16929789,Winkler,Dan,Daniel Allen,,,,1990,2,2,,,,2011,2022,2015,2021,2011,2011,,,,,,,,,,
405d103c,405d103c-7b39-4eeb-8d5b-f6e2f74ea774,539438,diams001,diamosc01,diamon001sco,5089,,,,,Q3476202,Diamond,Scott,Scott Michael,,,,1986,7,30,,,,2008,2017,2011,2016,,,,,,,,,,,,
405df261,405df261-617a-4703-a893-5880a210899e,686973,varll001,varlalo01,varlan000lou,27691,,,,,,Varland,Louie,Louis Dennis,,,,1997,12,9,,,,2019,2024,2022,2024,2017,2019,,,,,,,,,,
406d87c7,406d87c7-5e1e-4c44-8e3c-ba50e59ed8ce,656546,hoffj003,hoffmje02,hoffma002jef,17432,,,,,Q16235444,Hoffman,Jeff,Jeffrey Robert,,,,1993,1,8,,,,2015,2024,2016,2024,2012,2014,,,,,,,,,,
40951c7e,40951c7e-465f-47e6-8912-a0aa9d0fd41d,657670,mahlg001,mahlegr01,mahle-000gre,16877,,,,,Q18637674,Mahle,Greg,Gregory Norman,,,,1993,4,17,,,,2014,2024,2016,2016,2012,2014,,,,,,,,,,
4097bcd5,4097bcd5-055b-411c-becd-865a76c6abf0,669358,baz-s001,bazsh01,baz---000sha,22264,,,,,Q30033371,Baz,Shane,Shane Austin,,,,1999,6,17,,,,2017,2024,2021,2024,,,,,,,,,,,,
409b8a70,409b8a70-b4a3-44df-af3a-98b306177d58,624133,suarr001,suarera01,suarez000ran,17277,,,,,Q56248293,Suárez,Ranger,Ranger Jose,,,,1995,8,26,,,,2012,2024,2018,2024,,,,,,,,,,,,
409c3807,409c3807-83f7-4534-86db-8ca024c23fa3,452666,wilht001,wilheto01,wilhel001tho,9975,,,,,Q3530924,Wilhelmsen,Tom,Thomas Mark,,,,1983,12,16,,,,2003,2018,2011,2017,,,,,,,,,,,,
409c5800,409c5800-6f02-42e5-8ec7-a5c87279730d,472551,abadf001,abadfe01,abad--001fer,4994,,,,,Q3049069,Abad,Fernando,Fernando Antonio,,,,1985,12,17,,,,2006,2024,2010,2023,,,,,,,,,,,,
40caed38,40caed38-d6a2-4af0-be5a-b92fb4ff841a,435559,suzuk001,suzukku01,suzuki001kur,8259,,,,,Q2748566,Suzuki,Kurt,Kurt Kiyoshi,,,,1983,10,4,,,,2004,2022,2007,2022,2002,2004,,,,,,,,,,
40edcc54,40edcc54-44ce-4a9d-b7e1-e8b37844ef61,502168,owenr001,owensru01,owens-001rud,5226,,,,,Q7377669,Owens,Rudy,Rudy C.,,,,1987,12,18,,,,2007,2017,2014,2014,,,,,,,,,,,,
40f3a1a9,40f3a1a9-937d-4ff2-9d2b-cbb03a4af855,607231,gantj002,gantjo01,gant--000joh,13684,13915155,,,,Q16567429,Gant,John,John Michael,,,,1992,8,6,,,,2011,2023,2016,2021,,,,,,,,,,,,
412b2dc2,412b2dc2-cc28-47ce-a87d-22120d2a1ec9,664058,fletd002,fletcda02,fletch002dav,17992,,,,,Q55609108,Fletcher,David,David Owen,,,,1994,5,31,,,,2015,2024,2018,2024,2014,2015,,,,,,,,,,
413ed7c8,413ed7c8-4445-48d2-9602-d7598722c292,642216,winaa001,winanal01,winans000all,21238,,,,,,Winans,Allan,Allan Lee,,,,1995,8,10,,,,2018,2024,2023,2024,2017,2018,,,,,,,,,,
4147996f,4147996f-3f83-4fd4-96cd-723625f6f34c,675961,willa005,willial04,willia001ali,27604,,,,,,Williams,Alika,Alexander David,,,,1999,3,12,,,,2021,2024,2023,2024,2018,2020,,,,,,,,,,
41518929,41518929-cfa2-4622-b98f-03e24251e872,641401,brogc001,brogdco01,brogdo000con,21205,,,,,Q98398908,Brogdon,Connor,Connor Michael,,,,1995,1,29,,,,2017,2024,2020,2024,2016,2017,,,,,,,,,,
415af84a,415af84a-ce3b-4153-be12-efdce05ae3c8,657766,stjol001,stjohlo01,stjohn000ken,16850,,,,,Q64745716,St. John,Locke,Kenton Locke,,,,1993,1,31,,,,2014,2022,2019,2022,2014,2014,,,,,,,,,,
416a4861,416a4861-8bc3-46ab-9451-04e008f91bb6,518566,colet001,coleta01,cole--001tay,11964,,,,,Q36310958,Cole,Taylor,Taylor James,,,,1989,8,20,,,,2011,2022,2017,2019,2011,2011,,,,,,,,,,
41844a3f,41844a3f-8256-4fac-8c42-4a039b8ff1b3,545121,vargi001,vargail01,vargas001ild,13324,,,,,Q30030716,Vargas,Ildemaro,Ildemaro José,,,,1991,7,16,,,,2008,2024,2017,2024,,,,,,,,,,,,
41d19ec3,41d19ec3-989e-4cb7-910a-1d02a0afa060,607369,taijt001,taijetr01,taijer000tra,11935,,,,,Q38013847,Taijeron,Travis,Travis Nathaniel,,,,1989,1,20,,,,2011,2019,2017,2017,2011,2011,,,,,,,,,,
