Season,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Total,NYM,2,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0


Total,NYM,151,626,510,146,97,27,4,18,86,55,101,1,132,12,2,1,4,7,5,0.286274509
